,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
0,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-7.93,391.0,439.0
5,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-19.6,238.0,309.0
3,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-9.91,357.0,413.0
4,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-33.8,293.0,345.0
71,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,3,0.2,0.0,0.0,-18.13,248.42,294.03
81,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,2,0.0,0.0,0.0,-16.7,175.0,212.0
107,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
59,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-21.0,284.0,353.0
35,3.0,0,0.6,0.0,0.29,0.0,0.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-21.1,152.0,228.0
22,3.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-42.01,75.17,155.7
38,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-11.6,95.0,195.0
123,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.4,298.04,337.25
32,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-11.55,90.0,190.0
0,3.0,0,0.53,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-16.0,267.0,342.0
64,3.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.67,238.23,274.18
2,3.0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.88,0.12,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,197.0,319.0
50,3.0,0,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-12.11,181.8,251.86
5,3.0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.82,85.6,104.8
48,3.0,0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-15.35,209.98,280.04
52,3.0,0,0.3,0.0,0.4,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-10.02,155.18,224.85
119,2.95,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-34.0,330.0,365.0
43,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,205.0,270.0
