,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
0,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-7.93,391.0,439.0
1,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-25.3,313.0,371.0
2,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-29.7,330.0,381.0
3,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-9.91,357.0,413.0
115,3.0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-6.5,451.0,489.0
50,3.0,0,0.3,0.0,0.4,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-10.02,155.18,224.85
36,3.0,0,0.6,0.0,0.28,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-18.2,140.0,223.0
106,3.0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,351.0,411.0
49,3.0,0,0.35,0.0,0.4,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-8.74,164.97,244.81
25,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.0,270.0,336.0
107,3.0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,370.0,438.0
9,3.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-8.15,281.15,361.66
112,3.0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-24.0,335.0,396.0
0,3.0,0,0.53,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-16.0,267.0,342.0
84,2.65,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.45,0.0,-19.14,80.0,150.0
78,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,2,0.0,0.0,0.0,-57.0,213.0,233.0
41,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,205.0,270.0
101,3.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,2,0.0,0.0,0.0,-24.0,266.3,284.9
21,3.0,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-66.46,34.0,73.37
23,3.0,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-74.27,188.81,234.45
10,3.0,0,0.45,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-5.13,315.65,379.55
82,2.85,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.15,0.0,-32.27,191.0,239.0
105,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
83,2.7,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.3,0.0,-29.15,135.0,190.0
88,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.13,173.0,226.0
8,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,218.53,292.65
103,3.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,2,0.0,0.0,0.0,-18.2,260.1,284.8
37,3.0,0,0.6,0.0,0.26,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-12.4,115.0,206.0
