,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
3,3.1,0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-3.0,327.9,392.65
4,2.88,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.12,0.0,2,0.0,0.0,0.0,-25.0,316.0,386.0
5,3.0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.82,85.6,104.8
6,3.0,0,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-124.3,90.73,117.57
7,3.0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-42.79,152.07,209.58
8,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,218.53,292.65
14,3.0,0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-25.47,105.56,113.33
17,3.0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-56.81,157.78,192.22
18,3.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-46.97,242.22,273.33
20,3.0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-2.72,33.11,69.8
21,3.0,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-66.46,34.0,73.37
22,3.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-42.01,75.17,155.7
25,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.0,270.0,336.0
30,3.0,0,0.6,0.0,0.35,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-26.63,210.0,270.0
31,3.0,0,0.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-29.4,170.0,238.0
33,3.0,0,0.5,0.0,0.45,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-6.57,260.0,340.0
34,3.0,0,0.5,0.0,0.35,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-2.6,143.0,231.0
35,3.0,0,0.6,0.0,0.29,0.0,0.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-21.1,152.0,228.0
36,3.0,0,0.6,0.0,0.28,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-18.2,140.0,223.0
37,3.0,0,0.6,0.0,0.26,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-12.4,115.0,206.0
39,3.0,0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,2,0.0,0.0,0.0,-2.32,253.26,337.21
41,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,205.0,270.0
42,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,2,0.0,0.0,0.0,-5.3,205.76,310.37
43,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,235.0,292.0
46,3.0,0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-15.35,209.98,280.04
47,3.0,0,0.45,0.0,0.4,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-9.76,184.93,265.16
48,3.0,0,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-12.11,181.8,251.86
49,3.0,0,0.35,0.0,0.4,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-8.74,164.97,244.81
56,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.0,270.0,336.0
59,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.85,0.1,0.05,0.0,0.0,2,0.0,0.0,0.0,-37.0,270.0,325.0
60,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.85,0.1,0.05,0.0,0.0,2,0.0,0.0,0.0,-30.0,280.0,340.0
