,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
1,3.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-12.0,280.0,365.0
2,3.0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.88,0.12,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,197.0,319.0
4,2.88,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.12,0.0,2,0.0,0.0,0.0,-25.0,316.0,386.0
5,3.0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.82,85.6,104.8
7,3.0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-42.79,152.07,209.58
8,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,218.53,292.65
9,3.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-8.15,281.15,361.66
12,3.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-31.0,299.0,373.0
15,3.0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-343.92,93.33,101.11
16,3.0,0,0.85,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-373.375,95.56,104.44
17,3.0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-56.81,157.78,192.22
19,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-28.0,296.0,332.0
