#EXPORTTYPE:DATA SINGLE						
#FILE:B&D.ngb-sla						
#FORMAT:NETZSCH5						
#FTYPE:ANSI						
#IDENTITY:D						
#DECIMAL:POINT						
#SEPARATOR:SEMICOLON						
#MTYPE:DIL						
#INSTRUMENT:NETZSCH DIL 402SE						
#PROJECT:1						
#DATE/TIME:10.12.2019 16:07						
#CORR. FILE:						
#TEMPCAL:TCALZERO.TMX						
#LABORATORY:1						
#OPERATOR:1						
#REMARK:						
#SAMPLE:D						
#SAMPLE LENGTH /mm:9.91						
#MATERIAL:Ã’¥…						
#MEASMODE:Standard Expansion						
#M.RANGE /¶Ãm:20000						
#CORR. CODE:010						
#RANGE:-110°„C/5.0(K/min)/200°„C						
#SEGMENT:S1/1						
#SEG. 1:-110°„C/5.0(K/min)/200°„C						
						
##Temp./°„C	Time/min	dL/Lo				
-100	2.14097	-6.33785E-05				
-99.9	2.16004	-6.28716E-05				
-99.8	2.17909	-6.19173E-05				
-99.7	2.19813	-6.12483E-05				
-99.6	2.21719	-6.03112E-05				
-99.5	2.23629	-5.97203E-05				
-99.4	2.25541	-5.87594E-05				
-99.3	2.27452	-5.78678E-05				
-99.2	2.29369	-5.7019E-05				
-99.1	2.3129	-5.63163E-05				
-99	2.33216	-5.5359E-05				
-98.9	2.35145	-5.45559E-05				
-98.8	2.37079	-5.37729E-05				
-98.7	2.39019	-5.28498E-05				
-98.6	2.40959	-5.1889E-05				
-98.5	2.42911	-5.10656E-05				
-98.4	2.44866	-5.0142E-05				
-98.3	2.4683	-4.89913E-05				
-98.2	2.48796	-4.84277E-05				
-98.1	2.50769	-4.7088E-05				
-98	2.52744	-4.63267E-05				
-97.9	2.54729	-4.54069E-05				
-97.8	2.56718	-4.45812E-05				
-97.7	2.58718	-4.33911E-05				
-97.6	2.60723	-4.24188E-05				
-97.5	2.62731	-4.14738E-05				
-97.4	2.64741	-4.04318E-05				
-97.3	2.66758	-3.94332E-05				
-97.2	2.68779	-3.8406E-05				
-97.1	2.70797	-3.74969E-05				
-97	2.72824	-3.63358E-05				
-96.9	2.74853	-3.53359E-05				
-96.8	2.76886	-3.42179E-05				
-96.7	2.78923	-3.31559E-05				
-96.6	2.80961	-3.21594E-05				
-96.5	2.83001	-3.10067E-05				
-96.4	2.85043	-2.99395E-05				
-96.3	2.87086	-2.88366E-05				
-96.2	2.89132	-2.79747E-05				
-96.1	2.9118	-2.66077E-05				
-96	2.93228	-2.5808E-05				
-95.9	2.95277	-2.44581E-05				
-95.8	2.97321	-2.37313E-05				
-95.7	2.99364	-2.1815E-05				
-95.6	3.01404	-2.11839E-05				
-95.5	3.03447	-2.01453E-05				
-95.4	3.05489	-1.88836E-05				
-95.3	3.07528	-1.77482E-05				
-95.2	3.09571	-1.66185E-05				
-95.1	3.11612	-1.5756E-05				
-95	3.13653	-1.41729E-05				
-94.9	3.15686	-1.33368E-05				
-94.8	3.1772	-1.21039E-05				
-94.7	3.19754	-1.10027E-05				
-94.6	3.21786	-1.00919E-05				
-94.5	3.23815	-8.57016E-06				
-94.4	3.25839	-7.58094E-06				
-94.3	3.27863	-6.31796E-06				
-94.2	3.29885	-5.12674E-06				
-94.1	3.31904	-3.86325E-06				
-94	3.33923	-2.71026E-06				
-93.9	3.3594	-1.52146E-06				
-93.8	3.37957	-3.15019E-07				
-93.7	3.39971	9.1957E-07				
-93.6	3.4199	2.09216E-06				
-93.5	3.44003	3.26007E-06				
-93.4	3.46019	4.54119E-06				
-93.3	3.48033	5.80732E-06				
-93.2	3.50044	7.18115E-06				
-93.1	3.52057	8.05144E-06				
-93	3.54069	9.66507E-06				
-92.9	3.56083	1.08028E-05				
-92.8	3.58095	1.19144E-05				
-92.7	3.60107	1.33557E-05				
-92.6	3.62119	1.44085E-05				
-92.5	3.64133	1.58048E-05				
-92.4	3.6615	1.69509E-05				
-92.3	3.68166	1.83231E-05				
-92.2	3.70183	1.93812E-05				
