#EXPORTTYPE:DATA SINGLE							
#FILE:C.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:C-2							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 18:53							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:C-2							
#SAMPLE LENGTH /mm:23.86							
#MATERIAL:Ã’¥…							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-100	2.20313	-0.00012885					
-99.9	2.22261	-0.000128949					
-99.8	2.242	-0.000128963					
-99.7	2.26129	-0.000128984					
-99.6	2.28049	-0.000128973					
-99.5	2.29963	-0.000129026					
-99.4	2.3187	-0.000128983					
-99.3	2.3377	-0.000129031					
-99.2	2.35662	-0.000128987					
-99.1	2.37549	-0.000128976					
-99	2.39434	-0.000128937					
-98.9	2.41318	-0.000128899					
-98.8	2.432	-0.00012874					
-98.7	2.45074	-0.000128773					
-98.6	2.46949	-0.000128674					
-98.5	2.48824	-0.000128646					
-98.4	2.50699	-0.000128397					
-98.3	2.52572	-0.000128403					
-98.2	2.54447	-0.000128247					
-98.1	2.56319	-0.000128089					
-98	2.58193	-0.000128022					
-97.9	2.60071	-0.000127804					
-97.8	2.61947	-0.00012769					
-97.7	2.6383	-0.000127548					
-97.6	2.65714	-0.000127337					
-97.5	2.676	-0.000127202					
-97.4	2.69491	-0.000126958					
-97.3	2.71388	-0.000126787					
-97.2	2.73291	-0.000126559					
-97.1	2.75197	-0.000126419					
-97	2.77108	-0.00012612					
-96.9	2.79023	-0.000125974					
-96.8	2.80942	-0.000125724					
-96.7	2.82864	-0.000125429					
-96.6	2.84792	-0.000125182					
-96.5	2.86729	-0.000124908					
-96.4	2.88668	-0.000124648					
-96.3	2.90613	-0.000124338					
-96.2	2.9256	-0.000123982					
-96.1	2.94513	-0.000123716					
-96	2.96468	-0.000123441					
-95.9	2.98431	-0.000123145					
-95.8	3.00398	-0.000122729					
-95.7	3.02367	-0.000122432					
-95.6	3.04341	-0.000122114					
-95.5	3.0632	-0.000121694					
-95.4	3.08304	-0.000121353					
-95.3	3.10289	-0.000120967					
-95.2	3.12276	-0.000120612					
-95.1	3.14264	-0.000120136					
-95	3.16259	-0.00011974					
-94.9	3.18252	-0.00011936					
-94.8	3.20253	-0.000118983					
-94.7	3.22254	-0.000118576					
-94.6	3.24258	-0.000118132					
-94.5	3.26261	-0.000117664					
-94.4	3.28266	-0.000117172					
-94.3	3.30275	-0.00011681					
-94.2	3.32282	-0.000116307					
-94.1	3.34291	-0.000115792					
-94	3.36301	-0.000115394					
-93.9	3.38311	-0.000114868					
-93.8	3.40322	-0.000114436					
-93.7	3.4233	-0.000113843					
-93.6	3.44341	-0.000113399					
-93.5	3.46349	-0.000112921					
-93.4	3.48356	-0.000112405					
-93.3	3.50363	-0.000111856					
-93.2	3.52366	-0.000111382					
-93.1	3.54371	-0.000110832					
-93	3.56375	-0.000110359					
-92.9	3.58379	-0.000109722					
-92.8	3.60385	-0.000109121					
-92.7	3.62388	-0.00010867					
-92.6	3.64388	-0.000108013					
-92.5	3.66388	-0.000107657					
-92.4	3.68389	-0.000106875					
-92.3	3.70386	-0.000106401					
-92.2	3.72379	-0.0001064					
-92.1	3.74374	-0.000106023					
-92	3.76367	-0.000105405					
-91.9	3.78358	-0.000104911					
-91.8	3.80349	-0.000104343					
-91.7	3.82338	-0.000103707					
-91.6	3.84329	-0.000103129					
-91.5	3.86316	-0.000102489					
-91.4	3.88303	-0.000101972					
-91.3	3.90291	-0.0001013					
-91.2	3.9228	-0.000100709					
-91.1	3.94272	-0.000100071					
