#EXPORTTYPE:DATA SINGLE							
#FILE:B&D.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:B							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 16:07							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:B							
#SAMPLE LENGTH /mm:16.56							
#MATERIAL:Ã’¥…							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-100	2.14097	-8.90067E-05					
-99.9	2.16004	-8.83769E-05					
-99.8	2.17909	-8.79969E-05					
-99.7	2.19813	-8.74585E-05					
-99.6	2.21719	-8.69959E-05					
-99.5	2.23629	-8.64446E-05					
-99.4	2.25541	-8.57184E-05					
-99.3	2.27452	-8.53973E-05					
-99.2	2.29369	-8.48058E-05					
-99.1	2.3129	-8.40977E-05					
-99	2.33216	-8.35393E-05					
-98.9	2.35145	-8.30225E-05					
-98.8	2.37079	-8.26045E-05					
-98.7	2.39019	-8.18301E-05					
-98.6	2.40959	-8.09695E-05					
-98.5	2.42911	-8.04733E-05					
-98.4	2.44866	-7.98785E-05					
-98.3	2.4683	-7.92696E-05					
-98.2	2.48796	-7.8337E-05					
-98.1	2.50769	-7.77963E-05					
-98	2.52744	-7.70916E-05					
-97.9	2.54729	-7.64019E-05					
-97.8	2.56718	-7.56678E-05					
-97.7	2.58718	-7.47188E-05					
-97.6	2.60723	-7.42241E-05					
-97.5	2.62731	-7.33899E-05					
-97.4	2.64741	-7.26797E-05					
-97.3	2.66758	-7.1806E-05					
-97.2	2.68779	-7.12398E-05					
-97.1	2.70797	-7.04562E-05					
-97	2.72824	-6.94755E-05					
-96.9	2.74853	-6.85409E-05					
-96.8	2.76886	-6.79977E-05					
-96.7	2.78923	-6.72209E-05					
-96.6	2.80961	-6.6331E-05					
-96.5	2.83001	-6.54733E-05					
-96.4	2.85043	-6.46337E-05					
-96.3	2.87086	-6.3874E-05					
-96.2	2.89132	-6.28853E-05					
-96.1	2.9118	-6.20359E-05					
-96	2.93228	-6.12607E-05					
-95.9	2.95277	-6.04368E-05					
-95.8	2.97321	-5.92781E-05					
-95.7	2.99364	-5.80507E-05					
-95.6	3.01404	-5.8166E-05					
-95.5	3.03447	-5.75276E-05					
-95.4	3.05489	-5.63387E-05					
-95.3	3.07528	-5.52159E-05					
-95.2	3.09571	-5.41269E-05					
-95.1	3.11612	-5.32041E-05					
-95	3.13653	-5.22202E-05					
-94.9	3.15686	-5.14197E-05					
-94.8	3.1772	-5.0976E-05					
-94.7	3.19754	-4.95599E-05					
-94.6	3.21786	-4.85393E-05					
-94.5	3.23815	-4.71734E-05					
-94.4	3.25839	-4.63765E-05					
-94.3	3.27863	-4.56184E-05					
-94.2	3.29885	-4.44309E-05					
-94.1	3.31904	-4.34188E-05					
-94	3.33923	-4.25548E-05					
-93.9	3.3594	-4.16418E-05					
-93.8	3.37957	-4.05946E-05					
-93.7	3.39971	-3.93863E-05					
-93.6	3.4199	-3.86827E-05					
-93.5	3.44003	-3.76149E-05					
-93.4	3.46019	-3.65172E-05					
-93.3	3.48033	-3.54209E-05					
-93.2	3.50044	-3.45054E-05					
-93.1	3.52057	-3.36513E-05					
-93	3.54069	-3.25322E-05					
-92.9	3.56083	-3.13454E-05					
-92.8	3.58095	-3.04591E-05					
-92.7	3.60107	-2.93828E-05					
-92.6	3.62119	-2.83078E-05					
-92.5	3.64133	-2.71262E-05					
-92.4	3.6615	-2.60883E-05					
-92.3	3.68166	-2.51263E-05					
-92.2	3.70183	-2.40827E-05					
-92.1	3.72196	-2.2913E-05					
-92	3.74213	-2.18087E-05					
-91.9	3.76228	-2.07703E-05					
-91.8	3.78247	-1.9701E-05					
-91.7	3.80265	-1.85471E-05					
-91.6	3.82285	-1.73891E-05					
-91.5	3.843	-1.63871E-05					
-91.4	3.86317	-1.54053E-05					
-91.3	3.88333	-1.4099E-05					
-91.2	3.90354	-1.30183E-05					
-91.1	3.92371	-1.19144E-05					
-91	3.94385	-1.08258E-05					
-90.9	3.96402	-9.68499E-06					
-90.8	3.98419	-8.37066E-06					
-90.7	4.00437	-7.18764E-06					
-90.6	4.02452	-6.23507E-06					
-90.5	4.04468	-5.04685E-06					
-90.4	4.06483	-3.92026E-06					
-90.3	4.08496	-2.77829E-06					
-90.2	4.1051	-1.65984E-06					
-90.1	4.12523	-5.74864E-07					
-90	4.14535	8.26321E-07					
-89.9	4.16546	1.9614E-06					
-89.8	4.18556	2.90937E-06					
-89.7	4.20566	4.28421E-06					
-89.6	4.22575	5.47462E-06					
-89.5	4.24584	6.5553E-06					
-89.4	4.26593	7.72033E-06					
-89.3	4.28601	8.93283E-06					
-89.2	4.30607	1.02672E-05					
-89.1	4.32613	1.14115E-05					
-89	4.34619	1.24061E-05					
-88.9	4.36624	1.37215E-05					
-88.8	4.38629	1.48976E-05					
-88.7	4.40631	1.62176E-05					
-88.6	4.42637	1.73289E-05					
-88.5	4.44638	1.8367E-05					
