#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-100	2.17211	-3.91048E-05					
-99.9	2.19091	-3.90072E-05					
-99.8	2.20965	-3.90271E-05					
-99.7	2.22837	-3.8986E-05					
-99.6	2.247	-3.9013E-05					
-99.5	2.26561	-3.88914E-05					
-99.4	2.28419	-3.89664E-05					
-99.3	2.30275	-3.88907E-05					
-99.2	2.3213	-3.88969E-05					
-99.1	2.33985	-3.88216E-05					
-99	2.35845	-3.86954E-05					
-98.9	2.37703	-3.87669E-05					
-98.8	2.39565	-3.8739E-05					
-98.7	2.41428	-3.86505E-05					
-98.6	2.43296	-3.85323E-05					
-98.5	2.45168	-3.85977E-05					
-98.4	2.47043	-3.84767E-05					
-98.3	2.4892	-3.84381E-05					
-98.2	2.50804	-3.831E-05					
-98.1	2.52695	-3.82771E-05					
-98	2.54588	-3.82301E-05					
-97.9	2.5649	-3.81787E-05					
-97.8	2.58396	-3.80156E-05					
-97.7	2.6031	-3.80436E-05					
-97.6	2.62232	-3.79124E-05					
-97.5	2.6416	-3.77625E-05					
-97.4	2.66095	-3.77549E-05					
-97.3	2.68037	-3.76405E-05					
-97.2	2.69986	-3.75184E-05					
-97.1	2.71944	-3.73922E-05					
-97	2.73908	-3.73173E-05					
-96.9	2.75878	-3.7182E-05					
-96.8	2.77855	-3.71613E-05					
-96.7	2.79838	-3.69411E-05					
-96.6	2.81822	-3.67913E-05					
-96.5	2.83813	-3.67102E-05					
-96.4	2.85808	-3.66211E-05					
-96.3	2.87809	-3.63484E-05					
-96.2	2.89815	-3.62696E-05					
-96.1	2.91826	-3.62599E-05					
-96	2.93843	-3.59246E-05					
-95.9	2.95865	-3.57908E-05					
-95.8	2.97887	-3.56857E-05					
-95.7	2.99911	-3.54936E-05					
-95.6	3.01939	-3.53331E-05					
-95.5	3.0397	-3.51029E-05					
-95.4	3.06002	-3.5083E-05					
-95.3	3.08037	-3.48036E-05					
-95.2	3.10075	-3.46231E-05					
-95.1	3.12109	-3.44688E-05					
-95	3.14142	-3.43684E-05					
-94.9	3.16176	-3.41507E-05					
-94.8	3.18211	-3.39872E-05					
-94.7	3.20247	-3.38157E-05					
-94.6	3.22286	-3.36967E-05					
-94.5	3.24322	-3.34864E-05					
-94.4	3.2636	-3.33224E-05					
-94.3	3.28399	-3.31899E-05					
-94.2	3.30434	-3.30639E-05					
-94.1	3.32468	-3.28944E-05					
-94	3.345	-3.27608E-05					
-93.9	3.36529	-3.26542E-05					
-93.8	3.3856	-3.25187E-05					
-93.7	3.4059	-3.23461E-05					
-93.6	3.4262	-3.22514E-05					
-93.5	3.44644	-3.21552E-05					
-93.4	3.46667	-3.19043E-05					
-93.3	3.48687	-3.19199E-05					
-93.2	3.50703	-3.17706E-05					
-93.1	3.52721	-3.16546E-05					
-93	3.54738	-3.15956E-05					
-92.9	3.56756	-3.1435E-05					
-92.8	3.58769	-3.14286E-05					
-92.7	3.60778	-3.127E-05					
-92.6	3.62786	-3.11677E-05					
-92.5	3.64789	-3.10857E-05					
-92.4	3.66793	-3.10655E-05					
-92.3	3.68792	-3.08623E-05					
-92.2	3.70791	-3.08556E-05					
-92.1	3.72792	-3.08225E-05					
-92	3.7479	-3.06751E-05					
-91.9	3.76787	-3.06216E-05					
-91.8	3.78782	-3.05056E-05					
-91.7	3.80774	-3.049E-05					
-91.6	3.82765	-3.03709E-05					
-91.5	3.84757	-3.03055E-05					
-91.4	3.86749	-3.02375E-05					
-91.3	3.88739	-3.01221E-05					
-91.2	3.90733	-3.0107E-05					
-91.1	3.92722	-2.99101E-05					
-91	3.94707	-2.99336E-05					
-90.9	3.96693	-2.98349E-05					
-90.8	3.98678	-2.97546E-05					
-90.7	4.00665	-2.96375E-05					
-90.6	4.02654	-2.96215E-05					
-90.5	4.04642	-2.95438E-05					
-90.4	4.06634	-2.9362E-05					
-90.3	4.08623	-2.93878E-05					
-90.2	4.10616	-2.93104E-05					
-90.1	4.12604	-2.92097E-05					
-90	4.14592	-2.91281E-05					
-89.9	4.16583	-2.91335E-05					
-89.8	4.18572	-2.90412E-05					
-89.7	4.20563	-2.89679E-05					
-89.6	4.22558	-2.88579E-05					
-89.5	4.24551	-2.88391E-05					
-89.4	4.26545	-2.87755E-05					
-89.3	4.28537	-2.86173E-05					
-89.2	4.30532	-2.86772E-05					
-89.1	4.32527	-2.85141E-05					
-89	4.34523	-2.84589E-05					
-88.9	4.36522	-2.84092E-05					
-88.8	4.38519	-2.83243E-05					
-88.7	4.40517	-2.83254E-05					
-88.6	4.42515	-2.81878E-05					
-88.5	4.44511	-2.82178E-05					
-88.4	4.4651	-2.80875E-05					
-88.3	4.48506	-2.81044E-05					
-88.2	4.50504	-2.79548E-05					
-88.1	4.52501	-2.78735E-05					
-88	4.54502	-2.79347E-05					
-87.9	4.56501	-2.77577E-05					
